idCliente,nombre,edad,teléfono,sexo,tieneTitulo
101,Ana Pérez,29,3001234567,F,true
102,Carlos Ruiz,35,3012345678,M,false
103,Beatriz Gómez,42,3023456789,F,true
104,Daniel Martínez,27,3034567890,M,false
105,Elena Castro,38,3045678901,F,true
106,Fernando López,33,3056789012,M,false
107,Gabriela Torres,25,3067890123,F,true
108,Héctor Ramírez,40,3078901234,M,true
109,Isabel Vargas,30,3089012345,F,false
110,Javier Mendoza,36,3090123456,M,true
111,Karla Rodríguez,28,3101234567,F,false
112,Luis Fernández,34,3112345678,M,true
113,Mariana Salinas,31,3123456789,F,true
114,Nicolás Gutiérrez,39,3134567890,M,false
115,Olga Prieto,45,3145678901,F,true
